,國文,英文,數學,社會,自然
0,13,13,8,10,10
1,6,14,13,12,13
2,8,15,11,13,9
3,6,7,15,6,14
4,11,7,13,11,8
5,15,14,8,9,11
6,8,11,6,7,7
7,14,15,14,10,14
8,13,9,10,11,10
9,10,6,6,8,11
10,10,6,8,6,8
11,10,11,11,14,14
12,11,13,8,6,12
13,11,15,15,15,15
14,15,10,7,6,12
15,11,14,6,13,6
16,13,10,14,11,6
17,9,7,11,15,8
18,14,6,9,15,11
19,13,14,12,6,11
20,10,10,10,6,7
21,15,11,6,11,14
22,8,6,12,13,9
23,10,15,12,15,15
24,7,10,8,14,15
25,6,10,11,11,14
26,8,10,14,15,13
27,14,12,15,12,14
28,7,7,12,6,10
29,9,7,9,9,10
30,7,10,12,14,12
31,13,12,9,7,6
32,6,10,15,9,7
33,11,7,14,8,14
34,7,9,7,15,10
35,10,6,11,11,15
36,9,13,8,11,11
37,10,7,12,7,11
38,11,7,9,10,12
39,13,8,12,10,14
40,15,8,15,8,9
41,14,15,6,12,15
42,14,7,9,8,6
43,10,7,8,6,9
44,9,8,8,7,9
45,6,12,9,10,8
46,15,13,13,9,8
47,14,7,8,6,8
48,15,11,9,9,14
49,8,6,15,15,9
50,10,10,6,7,12
51,15,7,6,12,7
52,10,8,8,11,7
53,12,9,6,10,8
54,6,6,6,14,15
55,14,10,14,9,13
56,15,13,14,9,12
57,15,10,6,13,12
58,12,11,8,8,12
59,7,15,9,10,15
60,7,15,6,11,6
61,8,6,9,13,15
62,6,14,13,10,13
63,14,14,9,12,12
64,8,15,15,12,14
65,14,7,12,12,7
66,12,13,10,15,8
67,8,15,7,12,10
68,8,15,14,15,8
69,13,13,6,13,11
70,6,6,6,10,13
71,14,13,8,8,9
72,12,14,15,15,14
73,11,8,8,6,13
74,10,8,6,10,13
75,15,7,7,7,12
76,13,14,9,14,11
77,6,15,12,9,11
78,9,7,15,14,8
79,8,7,6,15,15
80,14,13,12,15,9
81,12,15,9,14,6
82,13,8,14,8,7
83,13,6,7,11,6
84,9,14,13,7,8
85,13,14,15,11,11
86,14,10,15,12,15
87,14,14,10,14,9
88,7,8,11,14,9
89,10,15,7,10,7
90,12,9,14,11,14
91,11,14,12,10,6
92,6,12,6,9,15
93,8,14,8,8,14
94,12,10,6,12,15
95,9,6,10,13,13
96,9,9,9,12,10
97,14,6,7,8,14
98,6,10,12,14,15
99,11,14,11,10,15
